Grid Row,Grid Column,latitude,longitude,avg_traffic_probe_count
7,8,28.6529188,77.21124935,0.0055150870891451
7,9,28.6529188,77.22072365,0.0049365163418785
7,10,28.6529188,77.23019795,0.0
7,11,28.6529188,77.23967225,0.0412567710259003
7,12,28.6529188,77.24914655,0.0856270819327672
7,13,28.6529188,77.25862085,0.1386965438949582
7,14,28.6529188,77.26809515000001,0.0652479880739382
8,0,28.6602436,77.13545495,0.1339580802451495
8,1,28.6602436,77.14492925,0.0875173860578374
8,2,28.6602436,77.15440355,0.0331381309598457
8,3,28.6602436,77.16387785,0.0
8,4,28.6602436,77.17335215,0.0074366450020923
8,5,28.6602436,77.18282645000001,0.0448767123361064
8,6,28.6602436,77.19230075,0.0526297366361885
8,7,28.6602436,77.20177505000001,0.0722740716033607
8,8,28.6602436,77.21124935,0.0141825990898079
